timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679858983599,88,get_method,200,OK,Gr_32_Ukr 1-1,text,true,,184,153,1,1,http://5.75.203.123:5005/get_method?Name=Yaroslav&Age=31,88,0,47
1679858983688,75,user_info_2,200,OK,Gr_32_Ukr 1-1,text,true,,487,249,2,2,http://5.75.203.123:5005/user_info_2,75,0,35
1679858983701,71,get_method,200,OK,Gr_32_Ukr 1-2,text,true,,184,153,2,2,http://5.75.203.123:5005/get_method?Name=Yaroslav&Age=31,71,0,35
1679858983763,69,user_info_3,200,OK,Gr_32_Ukr 1-1,text,true,,385,250,3,3,http://5.75.203.123:5005/user_info_3,69,0,33
1679858983773,73,user_info_2,200,OK,Gr_32_Ukr 1-2,text,true,,487,249,3,3,http://5.75.203.123:5005/user_info_2,73,0,38
1679858983797,69,get_method,200,OK,Gr_32_Ukr 1-3,text,true,,184,153,3,3,http://5.75.203.123:5005/get_method?Name=Yaroslav&Age=31,69,0,32
1679858983832,75,object_info_1,200,OK,Gr_32_Ukr 1-1,text,true,,249,166,4,4,http://5.75.203.123:5005/object_info_1?name=Yaroslav&age=31&weight=80,75,0,34
1679858983847,68,user_info_3,200,OK,Gr_32_Ukr 1-2,text,true,,385,250,4,4,http://5.75.203.123:5005/user_info_3,68,0,32
1679858983866,73,user_info_2,200,OK,Gr_32_Ukr 1-3,text,true,,487,249,4,4,http://5.75.203.123:5005/user_info_2,73,0,36
1679858983899,72,get_method,200,OK,Gr_32_Ukr 1-4,text,true,,184,153,4,4,http://5.75.203.123:5005/get_method?Name=Yaroslav&Age=31,72,0,35
1679858983907,69,object_info_2,200,OK,Gr_32_Ukr 1-1,text,true,,477,168,4,4,http://5.75.203.123:5005/object_info_2?name=Yaroslav&age=31&salary=1700,69,0,32
1679858983916,68,object_info_1,200,OK,Gr_32_Ukr 1-2,text,true,,249,166,4,4,http://5.75.203.123:5005/object_info_1?name=Yaroslav&age=31&weight=80,68,0,34
1679858983939,73,user_info_3,200,OK,Gr_32_Ukr 1-3,text,true,,385,250,5,5,http://5.75.203.123:5005/user_info_3,73,0,32
1679858983971,78,user_info_2,200,OK,Gr_32_Ukr 1-4,text,true,,487,249,5,5,http://5.75.203.123:5005/user_info_2,77,0,34
1679858983976,73,object_info_3,200,OK,Gr_32_Ukr 1-1,text,true,,537,168,5,5,http://5.75.203.123:5005/object_info_3?name=Yaroslav&age=31&salary=2500,73,0,36
1679858983985,118,object_info_2,200,OK,Gr_32_Ukr 1-2,text,true,,477,168,6,6,http://5.75.203.123:5005/object_info_2?name=Yaroslav&age=31&salary=1700,118,0,33
1679858984002,105,get_method,200,OK,Gr_32_Ukr 1-5,text,true,,184,153,6,6,http://5.75.203.123:5005/get_method?Name=Yaroslav&Age=31,105,0,35
1679858984012,95,object_info_1,200,OK,Gr_32_Ukr 1-3,text,true,,249,166,6,6,http://5.75.203.123:5005/object_info_1?name=Yaroslav&age=31&weight=80,95,0,37
1679858984049,110,object_info_4,200,OK,Gr_32_Ukr 1-1,text,true,,256,168,6,6,http://5.75.203.123:5005/object_info_4?name=Yaroslav&age=31&salary=3500,110,0,74
1679858984049,110,user_info_3,200,OK,Gr_32_Ukr 1-4,text,true,,385,250,6,6,http://5.75.203.123:5005/user_info_3,110,0,74
